city,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
LaRochelle,Atlantic Coast Maisonnette,Entire home,59,Sabrina,69,4.61,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n69 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n69 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 bath',1,1,1
LaRochelle,STUDIO TOUT CONFORT,Private room in guest suite,110,Ralitsa,5,5,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n59 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n59 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 private bath',1,1,1
LaRochelle,Chambre privĂ©e sur jardin 15 MIN de la ROCHELLE,Room in bed and breakfast,65,Alyette,14,4.86,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n65 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n65 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 bath',1,1,1
LaRochelle,Chambre aux portes de La Rochelle (1),Private room in house,49,Nadia,53,4.94,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n154 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n154 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 shared bath',1,1,1
LaRochelle,"Chambre ""La Sardinerie"" Ă®le de RĂ©",Private room in nature lodge,50,FrĂ©dĂ©ric,161,4.59,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n732 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n732 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 private bath',1,1,1
LaRochelle,Chambre C dans grand appartement,Private room in apartment,24,Alain,20,4.85,"['2 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n77 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n77 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '2 beds', '1 shared bath',1,2,1
LaRochelle,Studio aux portes de La Rochelle,Entire home,55,Alexia,33,4.97,"['4 guests', '1 bedroom', '0 beds', '1 bath', '\U000f0004\n33 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '0 beds'"", "" '1 bath'"", "" '\\U000f0004\\n33 Reviews'"", "" '\\U000f0019\\nVerified']""]",4, '1 bedroom', '0 beds', '1 bath',1,0,1
LaRochelle,"THE LITTLE GREEN FISH, La Rochelle next to",Entire home,68,Will Et Cellou,98,4.43,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n104 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n104 Reviews'"", "" '\\U000f0019\\nVerified']""]",5, '1 bedroom', '2 beds', '1 bath',1,2,1
LaRochelle,Atlantic Coast Maisonnette,Entire home,59,Sabrina,69,4.61,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n69 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n69 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 bath',1,1,1
LaRochelle,STUDIO TOUT CONFORT,Private room in guest suite,110,Ralitsa,5,5,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n59 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n59 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 private bath',1,1,1
LaRochelle,Chambre privĂ©e sur jardin 15 MIN de la ROCHELLE,Room in bed and breakfast,65,Alyette,14,4.86,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n65 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n65 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 bath',1,1,1
LaRochelle,Chambre aux portes de La Rochelle (1),Private room in house,49,Nadia,53,4.94,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n154 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n154 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 shared bath',1,1,1
LaRochelle,"Chambre ""La Sardinerie"" Ă®le de RĂ©",Private room in nature lodge,50,FrĂ©dĂ©ric,161,4.59,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n732 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n732 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 private bath',1,1,1
LaRochelle,Chambre C dans grand appartement,Private room in apartment,24,Alain,20,4.85,"['2 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n77 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n77 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '2 beds', '1 shared bath',1,2,1
LaRochelle,Studio aux portes de La Rochelle,Entire home,55,Alexia,33,4.97,"['4 guests', '1 bedroom', '0 beds', '1 bath', '\U000f0004\n33 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '0 beds'"", "" '1 bath'"", "" '\\U000f0004\\n33 Reviews'"", "" '\\U000f0019\\nVerified']""]",4, '1 bedroom', '0 beds', '1 bath',1,0,1
LaRochelle,"THE LITTLE GREEN FISH, La Rochelle next to",Entire home,68,Will Et Cellou,98,4.43,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n104 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n104 Reviews'"", "" '\\U000f0019\\nVerified']""]",5, '1 bedroom', '2 beds', '1 bath',1,2,1
