,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
231,Port d'attache,Entire home,135.0,Estella,21,4.76,"['6 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n21 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\\U000f0004\\n21 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '4 beds', '1 bath',2.0,4.0,1.0
232,chambre avec patio agréable,Private room in bed and breakfast,35.0,Andre,93,4.89,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n149 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n149 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
233,Location chambres La Maison aux Mille Roses,Private room in house,28.0,Farah,25,4.81,"['2 guests', '2 bedrooms', '3 beds', '1 shared bath', '\U000f0004\n40 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n40 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '2 bedrooms', '3 beds', '1 shared bath',2.0,3.0,1.0
234,"Chambre, entrée indépendante 12 km La Rochelle",Private room in bed and breakfast,20.0,Corinne,24,4.96,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n87 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n87 Reviews']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
235,"Studio, ancien couvent proche du marché.",Entire home,60.0,Samuel,3,5.0,"['2 guests', '1 bedroom', '0 beds', '1 bath', '\U000f0004\n16 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '0 beds'"", "" '1 bath'"", "" '\\U000f0004\\n16 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '0 beds', '1 bath',1.0,0.0,1.0
236,"3-Petit nid douillet, proche centre ville",Entire home,80.0,Kévin,71,4.73,"['4 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n259 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n259 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
237,Centre Chatelaillon-plage chambre dans appartement,Private room in apartment,32.0,Yann And Jessica,48,4.77,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n50 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n50 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
238,"Charmant appart. ""Ré"", 2-4 pers., piscine chauffée",Entire home,125.0,Laure,25,4.88,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n66 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n66 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
239,chambre d'hôtes familial 2 à 4 +petit Dej +plage,Entire home,65.0,Sylvette,73,4.72,"['4 guests', '2 bedrooms', '3 beds', '1.5 baths', '\U000f0004\n73 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1.5 baths'"", "" '\\U000f0004\\n73 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '3 beds', '1.5 baths',2.0,3.0,1.5
241,LA ROCHELLE Campagne Petite MAISON & Grand JARDIN,Entire home,50.0,Céline & Fred,5,4.8,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n39 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n39 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
242,Bateau hyper centre La Rochelle (SONA),Entire home,139.0,Ubblo,13,4.62,"['4 guests', '2 bedrooms', '2 beds', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" 'Half-bath'"", "" '\\U000f0004\\n859 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '2 beds', 'Half-bath',2.0,2.0,0.5
243,Holiday House - Fouras,Entire home,95.0,Christophe,92,4.36,"['12 guests', '5 bedrooms', '7 beds', '1 bath', '\U000f0004\n162 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","[""['12 guests'"", "" '5 bedrooms'"", "" '7 beds'"", "" '1 bath'"", "" '\\U000f0004\\n162 Reviews'"", "" '\\U000f1101\\n2 References'"", "" '\\U000f0019\\nVerified']""]",12.0, '5 bedrooms', '7 beds', '1 bath',5.0,7.0,1.0
244,Appartement 50m2 dans maison proche La Rochelle,Private room in house,65.0,Béatrice,26,5.0,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n26 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n26 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
245,Appartement 42m2 10minutes du centre ville,Entire home,104.0,Mel,23,4.61,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n23 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n23 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
247,Chambre d'hôte chaleureuse,Private room in house,40.0,Carole,12,4.75,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n26 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n26 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
248,"Appartement 50m2 de standing, centre la Rochelle.",Entire home,250.0,Loic,12,4.5,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n12 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n12 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
249,Chez Thierry et Jean-Michel,Private room in house,35.0,Jean Michel Et Thierry,37,5.0,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n37 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n37 Reviews']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
250,Chambre dans Maison bis à Rivedoux Plage Ile De Ré,Private room in house,39.0,Jean,34,4.73,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n106 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n106 Reviews']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
253,"Camp'étoile DUO, cabane famille",Entire home,45.0,Celine,25,4.44,"['4 guests', '2 bedrooms', '2 beds', 'Half-bath', '\U000f0004\n163 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" 'Half-bath'"", "" '\\U000f0004\\n163 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '2 beds', 'Half-bath',2.0,2.0,0.5
254,Chambre agréable en pleine campagne,Private room in bed and breakfast,37.0,Myriam,93,4.9,"['5 guests', '2 bedrooms', '3 beds', '1 shared bath', '\U000f0004\n93 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n93 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '2 bedrooms', '3 beds', '1 shared bath',2.0,3.0,1.0
255,Cottage tout confort 4 personnes,Entire home,148.0,Le Bois,34,4.31,"['4 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n190 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n190 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
256,Deux pièces au coeur de La Rochelle,Entire home,40.0,Eric,69,4.51,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n69 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n69 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
259,Chambre aux portes de La Rochelle (1),Private room in house,49.0,Nadia,53,4.94,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n154 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n154 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
260,"Chambre ""La Sardinerie"" île de Ré",Private room in nature lodge,50.0,Frédéric,161,4.59,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n732 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n732 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
266,Chambre C dans grand appartement,Private room in apartment,24.0,Alain,20,4.85,"['2 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n77 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n77 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '2 beds', '1 shared bath',1.0,2.0,1.0
268,Studio aux portes de La Rochelle,Entire home,55.0,Alexia,33,4.97,"['4 guests', '1 bedroom', '0 beds', '1 bath', '\U000f0004\n33 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '0 beds'"", "" '1 bath'"", "" '\\U000f0004\\n33 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '0 beds', '1 bath',1.0,0.0,1.0
269,"THE LITTLE GREEN FISH, La Rochelle next to",Entire home,68.0,Will Et Cellou,98,4.43,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n104 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n104 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
270,Atlantic Coast Maisonnette,Entire home,59.0,Sabrina,69,4.61,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n69 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n69 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
271,STUDIO TOUT CONFORT,Private room in guest suite,110.0,Ralitsa,5,5.0,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n59 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n59 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
273,Chambre privée sur jardin 15 MIN de la ROCHELLE,Room in bed and breakfast,65.0,Alyette,14,4.86,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n65 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n65 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
279,Chambre aux portes de La Rochelle (1),Private room in house,49.0,Nadia,53,4.94,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n154 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n154 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
280,"Chambre ""La Sardinerie"" île de Ré",Private room in nature lodge,50.0,Frédéric,161,4.59,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n732 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n732 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
286,Chambre C dans grand appartement,Private room in apartment,24.0,Alain,20,4.85,"['2 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n77 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n77 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '2 beds', '1 shared bath',1.0,2.0,1.0
288,Studio aux portes de La Rochelle,Entire home,55.0,Alexia,33,4.97,"['4 guests', '1 bedroom', '0 beds', '1 bath', '\U000f0004\n33 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '0 beds'"", "" '1 bath'"", "" '\\U000f0004\\n33 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '0 beds', '1 bath',1.0,0.0,1.0
289,"THE LITTLE GREEN FISH, La Rochelle next to",Entire home,68.0,Will Et Cellou,98,4.43,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n104 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n104 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
290,Atlantic Coast Maisonnette,Entire home,59.0,Sabrina,69,4.61,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n69 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n69 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
291,STUDIO TOUT CONFORT,Private room in guest suite,110.0,Ralitsa,5,5.0,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n59 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n59 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
293,Chambre privée sur jardin 15 MIN de la ROCHELLE,Room in bed and breakfast,65.0,Alyette,14,4.86,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n65 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n65 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
299,Chambre aux portes de La Rochelle (1),Private room in house,49.0,Nadia,53,4.94,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n154 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n154 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
300,"Chambre ""La Sardinerie"" île de Ré",Private room in nature lodge,50.0,Frédéric,161,4.59,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n732 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n732 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
306,Chambre C dans grand appartement,Private room in apartment,24.0,Alain,20,4.85,"['2 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n77 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n77 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '2 beds', '1 shared bath',1.0,2.0,1.0
