,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
308,Studio aux portes de La Rochelle,Entire home,55.0,Alexia,33,4.97,"['4 guests', '1 bedroom', '0 beds', '1 bath', '\U000f0004\n33 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '0 beds'"", "" '1 bath'"", "" '\\U000f0004\\n33 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '0 beds', '1 bath',1.0,0.0,1.0
309,"THE LITTLE GREEN FISH, La Rochelle next to",Entire home,68.0,Will Et Cellou,98,4.43,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n104 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n104 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
310,Atlantic Coast Maisonnette,Entire home,59.0,Sabrina,69,4.61,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n69 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n69 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
311,STUDIO TOUT CONFORT,Private room in guest suite,110.0,Ralitsa,5,5.0,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n59 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n59 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
313,Chambre privée sur jardin 15 MIN de la ROCHELLE,Room in bed and breakfast,65.0,Alyette,14,4.86,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n65 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n65 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
317,Chambre cosy avec jardin,Private room in house,39.0,Stéphanie,250,4.66,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n253 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n253 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
318,Appartement au cœur de La Rochelle.,Entire home,90.0,Camille,26,4.92,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n26 Reviews']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n26 Reviews']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
319,Chambre indépendante centre dompierre sur mer,Private room in guest suite,50.0,Sabrina,4,5.0,"['3 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n4 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\\U000f0004\\n4 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1 private bath',1.0,2.0,1.0
320,Magnifique Duplex en plein cœur du village,Entire home,220.0,Melissa,27,4.85,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n154 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n154 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
323,Ptit coin de Paradis 5' La Rochelle,Private room in house,44.0,Gilles,97,4.84,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n97 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n97 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
324,"studio proche centre ville, ideal pour couple",Entire home,55.0,Maryse,53,4.65,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n53 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n53 Reviews']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
325,Chambres Mi yème zot case accès Jacuzzi,Private room in house,106.0,Nid Douillet,30,4.9,"['9 guests', '3 bedrooms', '7 beds', '1 private bath', '\U000f0004\n96 Reviews', '\U000f0019\nVerified']","[""['9 guests'"", "" '3 bedrooms'"", "" '7 beds'"", "" '1 private bath'"", "" '\\U000f0004\\n96 Reviews'"", "" '\\U000f0019\\nVerified']""]",9.0, '3 bedrooms', '7 beds', '1 private bath',3.0,7.0,1.0
327,Chambre à 15-20 min de La Rochelle,Private room in house,30.0,Victoria,68,4.63,"['2 guests', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n68 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 shared baths'"", "" '\\U000f0004\\n68 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1.5 shared baths',1.0,1.0,1.5
328,Des vacances responsables et apaisantes,Entire home,110.0,Anthony,43,4.84,"['6 guests', '3 bedrooms', '2 beds', '1 bath', '\U000f0004\n43 Reviews']","[""['6 guests'"", "" '3 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n43 Reviews']""]",6.0, '3 bedrooms', '2 beds', '1 bath',3.0,2.0,1.0
329,Chambre d'hôtel lit double,Room in boutique hotel,90.0,Ralitsa,7,4.0,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n59 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n59 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
331,L'Authentique de 1841,Private room in bed and breakfast,50.0,Lydie,8,5.0,"['3 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n10 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\\U000f0004\\n10 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1 private bath',1.0,2.0,1.0
332,Chambre avec vue sur le port (Ch.1),Private room in apartment,34.0,Alejandra,36,4.32,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n191 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n191 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
