chambre independante,Entire home,€32,Josiane,(78 reviews),4.56,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n105 Reviews', '\U000f0019\nVerified']"
Chambre d'hôtes proche La Rochelle THE LODGE 17138,Entire home,€62,Nathalie Et Yannick,(71 reviews),5,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n71 Reviews', '\U000f0019\nVerified']"
type gite dans un site naturel,Entire home,€60,Carole,(226 reviews),4.79,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n226 Reviews', '\U000f0019\nVerified']"
Appartement T3 45m² Hyper Centre La Rochelle,Entire home,€115,Manon Et Nicole,(230 reviews),4.88,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n295 Reviews', '\U000f0019\nVerified']"
Altantique 2,Entire home,€145,Isabelle,(70 reviews),4.81,"['5 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n75 Reviews', '\U000f0019\nVerified']"
2 chambres douillettes et confortables,Private room in house,€32,Gaele,(24 reviews),4.79,"['3 guests', '2 bedrooms', '2 beds', '1 shared bath', '\U000f0004\n24 Reviews', '\U000f0019\nVerified']"
STUDIO MEUBLE AU CŒUR DE VIE DE LA ROCHELLE,Entire home,€50,Corinne,(34 reviews),4.39,"['3 guests', '1 bedroom', '1 bed', '1.5 baths', '\U000f0004\n34 Reviews', '\U000f0019\nVerified']"
Bateau hyper centre La Rochelle (RIPTIDE),Entire home,€39,Ubblo,(163 reviews),4.42,"['2 guests', '1 bedroom', '1 bed', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']"
Maison bleue,Private room in house,€30,Sarah,(68 reviews),4.79,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n68 Reviews', '\U000f0019\nVerified']"
Maison de caractère avec jardin et terrasses,Entire home,€190,Valentine,(51 reviews),4.76,"['7 guests', '3 bedrooms', '3 beds', '2 baths', '\U000f0004\n266 Reviews', '\U000f0019\nVerified']"
Studio Atypique sous les toits proche Vieux Port,Entire home,€46,Emmanuel,(24 reviews),4.17,"['1 guest', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n111 Reviews', '\U000f0019\nVerified']"
Studio charmant proche La Rochelle,Entire home,€35,Aurélien,(73 reviews),4.7,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n73 Reviews', '\U000f0019\nVerified']"
Charmant appartement hyper-centre historique,Entire home,€75,Véronique,(18 reviews),4.67,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n310 Reviews', '\U000f0019\nVerified']"
Appartement au coeur de La Rochelle,Entire home,€60,Marie,(30 reviews),4.4,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n298 Reviews', '\U000f0019\nVerified']"
